 Celcius a Farenheit

  0°C  ----> 32.00°F 
  1°C  ----> 33.80°F 
  2°C  ----> 35.60°F 
  3°C  ----> 37.40°F 
  4°C  ----> 39.20°F 
  5°C  ----> 41.00°F 
  6°C  ----> 42.80°F 
  7°C  ----> 44.60°F 
  8°C  ----> 46.40°F 
  9°C  ----> 48.20°F 
 10°C  ----> 50.00°F 
 11°C  ----> 51.80°F 
 12°C  ----> 53.60°F 
 13°C  ----> 55.40°F 
 14°C  ----> 57.20°F 
 15°C  ----> 59.00°F 
 16°C  ----> 60.80°F 
 17°C  ----> 62.60°F 
 18°C  ----> 64.40°F 
 19°C  ----> 66.20°F 
 20°C  ----> 68.00°F 
 21°C  ----> 69.80°F 
 22°C  ----> 71.60°F 
 23°C  ----> 73.40°F 
 24°C  ----> 75.20°F 
 25°C  ----> 77.00°F 
 26°C  ----> 78.80°F 
 27°C  ----> 80.60°F 
 28°C  ----> 82.40°F 
 29°C  ----> 84.20°F 
 30°C  ----> 86.00°F 
 31°C  ----> 87.80°F 
 32°C  ----> 89.60°F 
 33°C  ----> 91.40°F 
 34°C  ----> 93.20°F 
 35°C  ----> 95.00°F 
 36°C  ----> 96.80°F 
 37°C  ----> 98.60°F 
 38°C  ----> 100.40°F 
 39°C  ----> 102.20°F 
 40°C  ----> 104.00°F 
 41°C  ----> 105.80°F 
 42°C  ----> 107.60°F 
 43°C  ----> 109.40°F 
 44°C  ----> 111.20°F 
 45°C  ----> 113.00°F 
 46°C  ----> 114.80°F 
 47°C  ----> 116.60°F 
 48°C  ----> 118.40°F 
 49°C  ----> 120.20°F 
 50°C  ----> 122.00°F 
 51°C  ----> 123.80°F 
 52°C  ----> 125.60°F 
 53°C  ----> 127.40°F 
 54°C  ----> 129.20°F 
 55°C  ----> 131.00°F 
 56°C  ----> 132.80°F 
 57°C  ----> 134.60°F 
 58°C  ----> 136.40°F 
 59°C  ----> 138.20°F 
 60°C  ----> 140.00°F 
 61°C  ----> 141.80°F 
 62°C  ----> 143.60°F 
 63°C  ----> 145.40°F 
 64°C  ----> 147.20°F 
 65°C  ----> 149.00°F 
 66°C  ----> 150.80°F 
 67°C  ----> 152.60°F 
 68°C  ----> 154.40°F 
 69°C  ----> 156.20°F 
 70°C  ----> 158.00°F 
 71°C  ----> 159.80°F 
 72°C  ----> 161.60°F 
 73°C  ----> 163.40°F 
 74°C  ----> 165.20°F 
 75°C  ----> 167.00°F 
 76°C  ----> 168.80°F 
 77°C  ----> 170.60°F 
 78°C  ----> 172.40°F 
 79°C  ----> 174.20°F 
 80°C  ----> 176.00°F 
 81°C  ----> 177.80°F 
 82°C  ----> 179.60°F 
 83°C  ----> 181.40°F 
 84°C  ----> 183.20°F 
 85°C  ----> 185.00°F 
 86°C  ----> 186.80°F 
 87°C  ----> 188.60°F 
 88°C  ----> 190.40°F 
 89°C  ----> 192.20°F 
 90°C  ----> 194.00°F 
 91°C  ----> 195.80°F 
 92°C  ----> 197.60°F 
 93°C  ----> 199.40°F 
 94°C  ----> 201.20°F 
 95°C  ----> 203.00°F 
 96°C  ----> 204.80°F 
 97°C  ----> 206.60°F 
 98°C  ----> 208.40°F 
 99°C  ----> 210.20°F 
100°C  ----> 212.00°F 
101°C  ----> 213.80°F 
102°C  ----> 215.60°F 
103°C  ----> 217.40°F 
104°C  ----> 219.20°F 
105°C  ----> 221.00°F 
106°C  ----> 222.80°F 
107°C  ----> 224.60°F 
108°C  ----> 226.40°F 
109°C  ----> 228.20°F 
110°C  ----> 230.00°F 
111°C  ----> 231.80°F 
112°C  ----> 233.60°F 
113°C  ----> 235.40°F 
114°C  ----> 237.20°F 
115°C  ----> 239.00°F 
116°C  ----> 240.80°F 
117°C  ----> 242.60°F 
118°C  ----> 244.40°F 
119°C  ----> 246.20°F 
120°C  ----> 248.00°F 
121°C  ----> 249.80°F 
122°C  ----> 251.60°F 
123°C  ----> 253.40°F 
124°C  ----> 255.20°F 
